X-Axis	bare NPA 10x (CRR) (SG) (Sub BG)
 1.79301E+03	-3.29980E+00
 1.79625E+03	-2.71631E+00
 1.79948E+03	-9.61426E-01
 1.80271E+03	-1.05859E+00
 1.80593E+03	-2.77344E-01
 1.80916E+03	 3.05908E+00
 1.81238E+03	 5.99268E+00
 1.81560E+03	 7.85303E+00
 1.81882E+03	 1.96973E+00
 1.82204E+03	-2.54004E+00
 1.82526E+03	-2.13965E+00
 1.82847E+03	-1.69238E+00
 1.83168E+03	 1.95752E+00
 1.83489E+03	 1.48047E+00
 1.83810E+03	 2.41748E+00
 1.84130E+03	 2.76611E+00
 1.84451E+03	 3.55713E+00
 1.84771E+03	 5.89648E+00
 1.85091E+03	 7.72070E+00
 1.85411E+03	 6.79639E+00
 1.85730E+03	 7.46387E+00
 1.86049E+03	 6.61426E+00
 1.86369E+03	 6.90332E+00
 1.86688E+03	 4.33350E+00
 1.87006E+03	 4.62500E+00
 1.87325E+03	 4.09033E+00
 1.87643E+03	 3.02002E+00
 1.87961E+03	-2.01172E-01
 1.88279E+03	-1.21045E+00
 1.88597E+03	-3.25928E+00
 1.88915E+03	-1.73682E+00
 1.89232E+03	 2.40625E+00
 1.89549E+03	 4.94629E+00
 1.89866E+03	 4.54590E-01
 1.90183E+03	-3.03076E+00
 1.90500E+03	-2.07959E+00
 1.90816E+03	-1.34521E+00
 1.91132E+03	 3.28613E-01
 1.91448E+03	 1.73389E+00
 1.91764E+03	 1.69580E+00
 1.92080E+03	 1.17676E-01
 1.92395E+03	-1.43555E+00
 1.92710E+03	 1.67334E+00
 1.93025E+03	 1.14844E+00
 1.93340E+03	 7.77832E-01
 1.93655E+03	 4.24170E+00
 1.93969E+03	 2.87158E+00
 1.94284E+03	 3.14355E+00
 1.94598E+03	-1.85107E+00
 1.94912E+03	-2.77686E+00
 1.95225E+03	-1.72510E+00
 1.95539E+03	-1.58398E+00
 1.95852E+03	-5.99121E-01
 1.96165E+03	 1.78369E+00
 1.96478E+03	 1.02295E+00
 1.96791E+03	 3.78906E+00
 1.97103E+03	 5.11963E+00
 1.97416E+03	 6.44287E+00
 1.97728E+03	 1.79248E+00
 1.98040E+03	-3.04688E+00
 1.98352E+03	-1.03955E+00
 1.98663E+03	 2.37061E+00
 1.98975E+03	 4.15234E+00
 1.99286E+03	 7.45117E+00
 1.99597E+03	 2.76172E+00
 1.99908E+03	-2.72070E+00
 2.00218E+03	-5.22998E+00
 2.00529E+03	-9.16504E-01
 2.00839E+03	 4.06006E+00
 2.01149E+03	 1.50488E+00
 2.01459E+03	-1.78125E+00
 2.01769E+03	-1.73340E+00
 2.02078E+03	-1.36621E+00
 2.02387E+03	 2.19189E+00
 2.02696E+03	 4.01514E+00
 2.03005E+03	 4.17236E+00
 2.03314E+03	-2.70020E-01
 2.03623E+03	-2.19873E+00
 2.03931E+03	-7.32422E-01
 2.04239E+03	 1.24609E+00
 2.04547E+03	 1.80469E+00
 2.04855E+03	 3.30029E+00
 2.05163E+03	 5.06445E+00
 2.05470E+03	 2.81250E+00
 2.05777E+03	-2.14941E+00
 2.06084E+03	-3.99023E+00
 2.06391E+03	-5.24121E+00
 2.06698E+03	-7.83203E-01
 2.07004E+03	 3.79346E+00
 2.07310E+03	 2.72119E+00
 2.07617E+03	 8.75977E-01
 2.07923E+03	-1.80713E+00
 2.08228E+03	-1.91992E+00
 2.08534E+03	-1.18652E-01
 2.08839E+03	 1.69287E+00
 2.09144E+03	 3.18555E+00
 2.09449E+03	 2.27930E+00
 2.09754E+03	-1.54883E+00
 2.10059E+03	-3.42285E+00
 2.10363E+03	-6.60596E+00
 2.10667E+03	-5.81982E+00
 2.10972E+03	-1.59229E+00
 2.11275E+03	 2.06885E+00
 2.11579E+03	 4.58105E+00
 2.11883E+03	 4.76758E+00
 2.12186E+03	 2.81738E+00
 2.12489E+03	 3.45215E+00
