X-Axis	NPA w/ HMB-1 20x (CRR) (SG) (Sub BG)
 2.09144E+03	-1.25078E+01
 2.09449E+03	-8.13477E+00
 2.09754E+03	-3.23291E+00
 2.10059E+03	 5.86426E-01
 2.10363E+03	 7.38525E+00
 2.10667E+03	 1.19912E+01
 2.10972E+03	 9.14502E+00
 2.11275E+03	 6.45166E+00
 2.11579E+03	 3.54053E+00
 2.11883E+03	-1.65479E+00
 2.12186E+03	-5.59131E+00
 2.12489E+03	-1.50000E+00
 2.12792E+03	 5.84912E+00
 2.13095E+03	 7.11230E+00
 2.13397E+03	 1.23389E+00
 2.13700E+03	-2.44971E+00
 2.14002E+03	-4.19238E+00
 2.14304E+03	 3.48584E+00
 2.14606E+03	 1.47563E+01
 2.14908E+03	 1.79058E+01
 2.15209E+03	 9.01416E+00
 2.15511E+03	-2.97559E+00
 2.15812E+03	-8.23682E+00
 2.16113E+03	-3.73389E+00
 2.16413E+03	 5.87891E+00
 2.16714E+03	 1.16631E+01
 2.17014E+03	 4.08350E+00
 2.17315E+03	-7.61768E+00
 2.17615E+03	-1.08965E+01
 2.17915E+03	-4.33838E+00
 2.18214E+03	 2.00488E+00
 2.18514E+03	 9.56885E+00
 2.18813E+03	 1.21235E+01
 2.19112E+03	 8.23877E+00
 2.19411E+03	 2.83691E+00
 2.19710E+03	-3.10059E-01
 2.20009E+03	-5.36133E-01
 2.20307E+03	-2.09473E-01
 2.20605E+03	 7.12402E-01
 2.20903E+03	 6.02734E+00
 2.21201E+03	 4.75635E+00
 2.21499E+03	 1.49463E+00
 2.21796E+03	-4.36719E+00
 2.22094E+03	-3.77637E+00
 2.22391E+03	 2.18262E+00
 2.22688E+03	 3.60596E+00
 2.22985E+03	 5.46436E+00
 2.23281E+03	 5.15088E+00
 2.23578E+03	-1.13525E+00
 2.23874E+03	-4.81006E+00
 2.24170E+03	-8.03418E+00
 2.24466E+03	-3.84131E+00
 2.24762E+03	 2.78906E+00
 2.25058E+03	 6.93896E+00
 2.25353E+03	 9.95068E+00
 2.25648E+03	 6.49219E+00
 2.25943E+03	 1.67871E+00
 2.26238E+03	-1.79053E+00
 2.26533E+03	-5.66650E+00
 2.26827E+03	-1.79834E+00
 2.27122E+03	-8.00781E-02
 2.27416E+03	 7.27539E-01
 2.27710E+03	 3.76563E+00
 2.28004E+03	 5.92139E+00
 2.28297E+03	 7.03613E+00
 2.28591E+03	 1.56982E+00
 2.28884E+03	-1.06299E+00
 2.29177E+03	 2.02539E+00
 2.29470E+03	 4.07471E+00
 2.29763E+03	 7.20850E+00
 2.30055E+03	 6.58301E+00
 2.30348E+03	 4.64355E-01
 2.30640E+03	-6.44141E+00
 2.30932E+03	-7.40088E+00
 2.31224E+03	-3.20898E+00
 2.31516E+03	 2.00684E+00
 2.31807E+03	 5.89844E+00
 2.32099E+03	 9.11279E+00
 2.32390E+03	 9.16992E+00
 2.32681E+03	 9.23047E+00
 2.32972E+03	 9.76904E+00
 2.33262E+03	 5.21289E+00
 2.33553E+03	-5.93262E-01
 2.33843E+03	-1.60254E+00
 2.34133E+03	-1.10254E+00
 2.34423E+03	-1.21973E+00
